,fullName,termType,rxcui
25,0.09 ML pegaptanib 3.33 MG/ML Prefilled Syringe [Macugen],SBD,1011626
26,0.1 ML adalimumab 100 MG/ML Prefilled Syringe,SCD,1921009
27,0.1 ML adalimumab 100 MG/ML Prefilled Syringe [Humira],SBD,1921010
28,0.1 ML glucagon 5 MG/ML Auto-Injector,SCD,2199299
29,0.1 ML glucagon 5 MG/ML Auto-Injector [Gvoke],SBD,2199304
30,0.1 ML glucagon 5 MG/ML Prefilled Syringe,SCD,2199310
31,0.1 ML glucagon 5 MG/ML Prefilled Syringe [Gvoke],SBD,2199312
32,0.1 ML pegcetacoplan 150 MG/ML Injection,SCD,2630847
33,0.1 ML pegcetacoplan 150 MG/ML Injection [Syfovre],SBD,2630853
34,0.1 ML ranibizumab 100 MG/ML Injection,SCD,2584857
35,0.1 ML ranibizumab 100 MG/ML Injection [Susvimo],SBD,2584863
36,0.14 ML risperidone 357 MG/ML Prefilled Syringe,SCD,2636049
37,0.14 ML risperidone 357 MG/ML Prefilled Syringe [Uzedy],SBD,2636050
38,0.15 ML methotrexate 50 MG/ML Auto-Injector,SCD,1544403
39,0.15 ML methotrexate 50 MG/ML Auto-Injector [Rasuvo],SBD,1544404
40,0.16 ML buprenorphine 50 MG/ML Prefilled Syringe,SCD,2639021
41,0.16 ML buprenorphine 50 MG/ML Prefilled Syringe [Brixadi],SBD,2639027
42,0.18 ML buprenorphine 356 MG/ML Prefilled Syringe,SCD,2639036
43,0.18 ML buprenorphine 356 MG/ML Prefilled Syringe [Brixadi],SBD,2639039
44,0.2 ML adalimumab 100 MG/ML Prefilled Syringe,SCD,1921016
45,0.2 ML adalimumab 100 MG/ML Prefilled Syringe [Humira],SBD,1921017
46,0.2 ML adalimumab-atto 50 MG/ML Prefilled Syringe,SCD,2634478
47,0.2 ML adalimumab-atto 50 MG/ML Prefilled Syringe [Amjevita],SBD,2634479
48,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe,SCD,978725
49,0.2 ML dalteparin sodium 12500 UNT/ML Prefilled Syringe [Fragmin],SBD,978727
50,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe,SCD,978733
51,0.2 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,978735
52,0.2 ML glucagon 5 MG/ML Auto-Injector,SCD,2199307
53,0.2 ML glucagon 5 MG/ML Auto-Injector [Gvoke],SBD,2199308
54,0.2 ML glucagon 5 MG/ML Injection,SCD,2587358
55,0.2 ML glucagon 5 MG/ML Injection [Gvoke],SBD,2587361
56,0.2 ML glucagon 5 MG/ML Prefilled Syringe,SCD,2199315
57,0.2 ML glucagon 5 MG/ML Prefilled Syringe [Gvoke],SBD,2199316
58,0.2 ML interferon beta-1a 0.044 MG/ML Auto-Injector,SCD,1650011
59,0.2 ML interferon beta-1a 0.044 MG/ML Auto-Injector [Rebif],SBD,1650012
60,0.2 ML interferon beta-1a 0.044 MG/ML Prefilled Syringe,SCD,758028
61,0.2 ML interferon beta-1a 0.044 MG/ML Prefilled Syringe [Rebif],SBD,795748
62,0.2 ML lanreotide 300 MG/ML Prefilled Syringe,SCD,749811
63,0.2 ML lanreotide 300 MG/ML Prefilled Syringe [Somatuline],SBD,749813
64,0.2 ML methotrexate 50 MG/ML Auto-Injector,SCD,1544378
65,0.2 ML methotrexate 50 MG/ML Auto-Injector [Rasuvo],SBD,1544383
66,0.21 ML risperidone 357 MG/ML Prefilled Syringe,SCD,2636051
67,0.21 ML risperidone 357 MG/ML Prefilled Syringe [Uzedy],SBD,2636052
68,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector",SCD,1991306
69,"0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]",SBD,1991311
70,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector",SCD,2619152
71,"0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic]",SBD,2619154
72,0.25 ML leuprolide acetate 30 MG/ML Prefilled Syringe,SCD,752899
73,0.25 ML leuprolide acetate 30 MG/ML Prefilled Syringe [Eligard],SBD,825334
74,0.25 ML methotrexate 50 MG/ML Auto-Injector,SCD,1544385
75,0.25 ML methotrexate 50 MG/ML Auto-Injector [Rasuvo],SBD,1544386
76,0.25 ML paliperidone palmitate 156 MG/ML Prefilled Syringe,SCD,858073
77,0.25 ML paliperidone palmitate 156 MG/ML Prefilled Syringe [Invega],SBD,858074
78,0.25 ML somatropin 0.8 MG/ML Prefilled Syringe,SCD,762830
79,0.25 ML somatropin 0.8 MG/ML Prefilled Syringe [Genotropin],SBD,762833
80,0.25 ML somatropin 1.6 MG/ML Prefilled Syringe,SCD,762834
81,0.25 ML somatropin 1.6 MG/ML Prefilled Syringe [Genotropin],SBD,762836
82,0.25 ML somatropin 2.4 MG/ML Prefilled Syringe,SCD,762837
83,0.25 ML somatropin 2.4 MG/ML Prefilled Syringe [Genotropin],SBD,762839
84,0.25 ML somatropin 3.2 MG/ML Prefilled Syringe,SCD,762841
85,0.25 ML somatropin 3.2 MG/ML Prefilled Syringe [Genotropin],SBD,762843
86,0.25 ML somatropin 4 MG/ML Prefilled Syringe,SCD,762873
87,0.25 ML somatropin 4 MG/ML Prefilled Syringe [Genotropin],SBD,762875
88,0.25 ML somatropin 4.8 MG/ML Prefilled Syringe,SCD,762846
89,0.25 ML somatropin 4.8 MG/ML Prefilled Syringe [Genotropin],SBD,762849
90,0.25 ML somatropin 5.6 MG/ML Prefilled Syringe,SCD,762850
91,0.25 ML somatropin 5.6 MG/ML Prefilled Syringe [Genotropin],SBD,762852
92,0.25 ML somatropin 6.4 MG/ML Prefilled Syringe,SCD,762857
93,0.25 ML somatropin 6.4 MG/ML Prefilled Syringe [Genotropin],SBD,762859
94,0.25 ML somatropin 7.2 MG/ML Prefilled Syringe,SCD,762866
95,0.25 ML somatropin 7.2 MG/ML Prefilled Syringe [Genotropin],SBD,762868
96,0.25 ML somatropin 8 MG/ML Prefilled Syringe,SCD,762895
97,0.25 ML somatropin 8 MG/ML Prefilled Syringe [Genotropin],SBD,762897
98,0.25 ML tick-borne encephalitis purified antigen 0.0048 MG/ML Prefilled Syringe,SCD,2583641
99,0.25 ML tick-borne encephalitis purified antigen 0.0048 MG/ML Prefilled Syringe [Ticovac],SBD,2583647
100,0.27 ML buprenorphine 356 MG/ML Prefilled Syringe,SCD,2639041
101,0.27 ML buprenorphine 356 MG/ML Prefilled Syringe [Brixadi],SBD,2639042
102,0.28 ML risperidone 357 MG/ML Prefilled Syringe,SCD,2636033
103,0.28 ML risperidone 357 MG/ML Prefilled Syringe [Uzedy],SBD,2636039
104,0.3 ML bremelanotide 5.83 MG/ML Auto-Injector,SCD,2176316
105,0.3 ML bremelanotide 5.83 MG/ML Auto-Injector [Vyleesi],SBD,2176321
106,0.3 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe,SCD,978736
107,0.3 ML dalteparin sodium 25000 UNT/ML Prefilled Syringe [Fragmin],SBD,978737
108,0.3 ML darbepoetin alfa 0.2 MG/ML Prefilled Syringe,SCD,731167
109,0.3 ML darbepoetin alfa 0.2 MG/ML Prefilled Syringe [Aranesp],SBD,731250
110,0.3 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe,SCD,731171
111,0.3 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe [Aranesp],SBD,731231
112,0.3 ML enoxaparin sodium 100 MG/ML Prefilled Syringe,SCD,854228
113,0.3 ML enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox],SBD,854232
114,0.3 ML epinephrine 0.5 MG/ML Prefilled Syringe,SCD,2178790
115,0.3 ML epinephrine 0.5 MG/ML Prefilled Syringe [Symjepi],SBD,2178792
116,0.3 ML epinephrine 1 MG/ML Prefilled Syringe,SCD,1989112
117,0.3 ML epinephrine 1 MG/ML Prefilled Syringe [Symjepi],SBD,1989117
118,0.3 ML lanreotide 300 MG/ML Prefilled Syringe,SCD,749817
119,0.3 ML lanreotide 300 MG/ML Prefilled Syringe [Somatuline],SBD,749818
120,0.3 ML methotrexate 25 MG/ML Prefilled Syringe,SCD,2377353
121,0.3 ML methotrexate 25 MG/ML Prefilled Syringe [Reditrex],SBD,2377354
122,0.3 ML methotrexate 50 MG/ML Auto-Injector,SCD,1544387
123,0.3 ML methotrexate 50 MG/ML Auto-Injector [Rasuvo],SBD,1544388
124,0.3 ML methoxy polyethylene glycol-epoetin beta 0.1 MG/ML Prefilled Syringe,SCD,1792483
125,0.3 ML methoxy polyethylene glycol-epoetin beta 0.1 MG/ML Prefilled Syringe [Mircera],SBD,1792485
126,0.3 ML methoxy polyethylene glycol-epoetin beta 0.167 MG/ML Prefilled Syringe,SCD,758169
127,0.3 ML methoxy polyethylene glycol-epoetin beta 0.167 MG/ML Prefilled Syringe [Mircera],SBD,1591961
128,0.3 ML methoxy polyethylene glycol-epoetin beta 0.25 MG/ML Prefilled Syringe,SCD,804171
129,0.3 ML methoxy polyethylene glycol-epoetin beta 0.25 MG/ML Prefilled Syringe [Mircera],SBD,1591964
130,0.3 ML methoxy polyethylene glycol-epoetin beta 0.333 MG/ML Prefilled Syringe,SCD,758159
131,0.3 ML methoxy polyethylene glycol-epoetin beta 0.333 MG/ML Prefilled Syringe [Mircera],SBD,1591967
132,0.3 ML methoxy polyethylene glycol-epoetin beta 0.4 MG/ML Prefilled Syringe,SCD,1792488
133,0.3 ML methoxy polyethylene glycol-epoetin beta 0.4 MG/ML Prefilled Syringe [Mircera],SBD,1792490
134,0.3 ML methoxy polyethylene glycol-epoetin beta 0.5 MG/ML Prefilled Syringe,SCD,758160
135,0.3 ML methoxy polyethylene glycol-epoetin beta 0.5 MG/ML Prefilled Syringe [Mircera],SBD,1591970
136,0.3 ML methoxy polyethylene glycol-epoetin beta 0.667 MG/ML Prefilled Syringe,SCD,758162
137,0.3 ML methoxy polyethylene glycol-epoetin beta 0.667 MG/ML Prefilled Syringe [Mircera],SBD,1591973
138,0.3 ML methoxy polyethylene glycol-epoetin beta 0.833 MG/ML Prefilled Syringe,SCD,758164
139,0.3 ML methoxy polyethylene glycol-epoetin beta 0.833 MG/ML Prefilled Syringe [Mircera],SBD,1591976
140,"0.3 ML SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 0.05 MG/ML / SARS-CoV-2 (COVID-19) vaccine, mRNA-BNT162b2 OMICRON (BA.4/BA.5) 0.05 MG/ML Injection",SCD,2610347
141,0.32 ML buprenorphine 50 MG/ML Prefilled Syringe,SCD,2639029
142,0.32 ML buprenorphine 50 MG/ML Prefilled Syringe [Brixadi],SBD,2639030
143,0.35 ML chondroitin sulfates 40 MG/ML / sodium hyaluronate 30 MG/ML Prefilled Syringe,SCD,1098122
144,0.35 ML chondroitin sulfates 40 MG/ML / sodium hyaluronate 30 MG/ML Prefilled Syringe [Viscoat],SBD,1098124
145,0.35 ML methotrexate 50 MG/ML Auto-Injector,SCD,1544389
146,0.35 ML methotrexate 50 MG/ML Auto-Injector [Rasuvo],SBD,1544390
147,0.35 ML risperidone 357 MG/ML Prefilled Syringe,SCD,2636041
148,0.35 ML risperidone 357 MG/ML Prefilled Syringe [Uzedy],SBD,2636042
149,0.36 ML buprenorphine 356 MG/ML Prefilled Syringe,SCD,2639043
150,0.36 ML buprenorphine 356 MG/ML Prefilled Syringe [Brixadi],SBD,2639044
151,0.36 ML follitropin beta 833 UNT/ML Cartridge,SCD,854787
152,0.36 ML follitropin beta 833 UNT/ML Cartridge [Follistim],SBD,1361563
153,0.375 ML leuprolide acetate 120 MG/ML Prefilled Syringe,SCD,752884
154,0.375 ML leuprolide acetate 120 MG/ML Prefilled Syringe [Eligard],SBD,825325
155,0.375 ML leuprolide acetate 120 MG/ML Prefilled Syringe [Fensolvi],SBD,2371773
156,0.375 ML leuprolide acetate 60 MG/ML Prefilled Syringe,SCD,752894
157,0.375 ML leuprolide acetate 60 MG/ML Prefilled Syringe [Eligard],SBD,825335
158,0.4 ML abatacept 125 MG/ML Prefilled Syringe,SCD,1925254
159,0.4 ML abatacept 125 MG/ML Prefilled Syringe [Orencia],SBD,1925255
160,0.4 ML adalimumab 100 MG/ML Auto-Injector,SCD,1872979
161,0.4 ML adalimumab 100 MG/ML Auto-Injector [Humira],SBD,1872980
162,0.4 ML adalimumab 100 MG/ML Prefilled Syringe,SCD,1726844
163,0.4 ML adalimumab 100 MG/ML Prefilled Syringe [Humira],SBD,1726846
164,0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector,SCD,2639651
165,0.4 ML adalimumab-aaty 100 MG/ML Auto-Injector [Yuflyma],SBD,2639657
166,0.4 ML adalimumab-aaty 100 MG/ML Prefilled Syringe,SCD,2639659
167,0.4 ML adalimumab-aaty 100 MG/ML Prefilled Syringe [Yuflyma],SBD,2639662
168,0.4 ML adalimumab-atto 50 MG/ML Prefilled Syringe,SCD,2627711
169,0.4 ML adalimumab-atto 50 MG/ML Prefilled Syringe [Amjevita],SBD,2627717
170,0.4 ML cyclosporine 0.5 MG/ML Ophthalmic Suspension,SCD,2572292
171,0.4 ML cyclosporine 0.5 MG/ML Ophthalmic Suspension [Restasis],SBD,2572293
172,0.4 ML darbepoetin alfa 0.025 MG/ML Prefilled Syringe,SCD,1605171
173,0.4 ML darbepoetin alfa 0.025 MG/ML Prefilled Syringe [Aranesp],SBD,1605172
174,0.4 ML darbepoetin alfa 0.1 MG/ML Prefilled Syringe,SCD,731181
175,0.4 ML darbepoetin alfa 0.1 MG/ML Prefilled Syringe [Aranesp],SBD,731227
176,0.4 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe,SCD,731174
177,0.4 ML darbepoetin alfa 0.5 MG/ML Prefilled Syringe [Aranesp],SBD,731235
178,0.4 ML emicizumab-kxwh 150 MG/ML Injection,SCD,1989814
179,0.4 ML emicizumab-kxwh 150 MG/ML Injection [Hemlibra],SBD,1989815
180,0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe,SCD,854235
181,0.4 ML enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox],SBD,854236
182,0.4 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe,SCD,861363
183,0.4 ML fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra],SBD,861364
184,0.4 ML granisetron 25 MG/ML Prefilled Syringe,SCD,1810484
185,0.4 ML granisetron 25 MG/ML Prefilled Syringe [Sustol],SBD,1810489
186,0.4 ML mepolizumab 100 MG/ML Prefilled Syringe,SCD,2596444
187,0.4 ML mepolizumab 100 MG/ML Prefilled Syringe [Nucala],SBD,2596445
188,0.4 ML methotrexate 25 MG/ML Auto-Injector,SCD,1441402
189,0.4 ML methotrexate 25 MG/ML Auto-Injector [Otrexup],SBD,1441407
190,0.4 ML methotrexate 25 MG/ML Prefilled Syringe,SCD,2377333
191,0.4 ML methotrexate 25 MG/ML Prefilled Syringe [Reditrex],SBD,2377338
192,0.4 ML methotrexate 31.3 MG/ML Auto-Injector,SCD,1747179
193,0.4 ML methotrexate 31.3 MG/ML Auto-Injector [Otrexup],SBD,1747181
194,0.4 ML methotrexate 37.5 MG/ML Auto-Injector,SCD,1441411
195,0.4 ML methotrexate 37.5 MG/ML Auto-Injector [Otrexup],SBD,1441413
196,0.4 ML methotrexate 43.8 MG/ML Auto-Injector,SCD,1747185
197,0.4 ML methotrexate 43.8 MG/ML Auto-Injector [Otrexup],SBD,1747187
198,0.4 ML methotrexate 50 MG/ML Auto-Injector,SCD,1441416
199,0.4 ML methotrexate 50 MG/ML Auto-Injector [Otrexup],SBD,1441418
200,0.4 ML methotrexate 50 MG/ML Auto-Injector [Rasuvo],SBD,1544394
201,0.4 ML methotrexate 56.3 MG/ML Auto-Injector,SCD,1747192
202,0.4 ML methotrexate 56.3 MG/ML Auto-Injector [Otrexup],SBD,1747194
203,0.4 ML methotrexate 62.5 MG/ML Auto-Injector,SCD,1441422
204,0.4 ML methotrexate 62.5 MG/ML Auto-Injector [Otrexup],SBD,1441424
205,0.4 ML methylnaltrexone bromide 20 MG/ML Prefilled Syringe,SCD,1244063
206,0.4 ML methylnaltrexone bromide 20 MG/ML Prefilled Syringe [Relistor],SBD,1244064
207,0.4 ML naloxone hydrochloride 1 MG/ML Auto-Injector,SCD,1495293
208,0.4 ML naloxone hydrochloride 25 MG/ML Auto-Injector,SCD,2596175
209,0.4 ML naloxone hydrochloride 5 MG/ML Auto-Injector,SCD,1855730
210,0.4 ML naloxone hydrochloride 5 MG/ML Auto-Injector [Evzio],SBD,1855732
211,0.4 ML ofatumumab 50 MG/ML Pen Injector,SCD,2390949
212,0.4 ML ofatumumab 50 MG/ML Pen Injector [Kesimpta],SBD,2390954
213,0.4 ML sodium hyaluronate 10 MG/ML Prefilled Syringe,SCD,1091723
214,0.4 ML sodium hyaluronate 10 MG/ML Prefilled Syringe [Provisc],SBD,1091725
215,0.42 ML darbepoetin alfa 0.06 MG/ML Prefilled Syringe,SCD,731176
216,0.42 ML darbepoetin alfa 0.06 MG/ML Prefilled Syringe [Aranesp],SBD,731245
217,0.42 ML risperidone 357 MG/ML Prefilled Syringe,SCD,2636043
218,0.42 ML risperidone 357 MG/ML Prefilled Syringe [Uzedy],SBD,2636044
219,0.45 ML asfotase alfa 40 MG/ML Injection,SCD,1720263
220,0.45 ML asfotase alfa 40 MG/ML Injection [Strensiq],SBD,1720268
221,0.45 ML methotrexate 50 MG/ML Auto-Injector,SCD,1544395
222,0.45 ML methotrexate 50 MG/ML Auto-Injector [Rasuvo],SBD,1544396
223,0.48 ML buprenorphine 50 MG/ML Prefilled Syringe,SCD,2639031
224,0.48 ML buprenorphine 50 MG/ML Prefilled Syringe [Brixadi],SBD,2639032
225,"0.5 ML acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / hepatitis B surface antigen vaccine 0.02 MG/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe",SCD,829987
226,"0.5 ML acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / hepatitis B surface antigen vaccine 0.02 MG/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe [PEDIARIX]",SBD,829989
227,"0.5 ML acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe",SCD,830555
228,"0.5 ML acellular pertussis vaccine, inactivated 0.116 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Prefilled Syringe [Kinrix]",SBD,830557
229,"0.5 ML acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 58 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 14 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 52 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection",SCD,2585714
230,"0.5 ML acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 58 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 14 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 52 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection [Pentacel]",SBD,2585717
231,"0.5 ML acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection",SCD,805375
232,"0.5 ML acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection [Pentacel]",SBD,805378
233,0.5 ML albiglutide 100 MG/ML Pen Injector,SCD,1534820
234,0.5 ML albiglutide 100 MG/ML Pen Injector [Tanzeum],SBD,1534822
235,0.5 ML albiglutide 60 MG/ML Pen Injector,SCD,1534800
236,0.5 ML albiglutide 60 MG/ML Pen Injector [Tanzeum],SBD,1534805
237,0.5 ML alprostadil 0.02 MG/ML Prefilled Syringe,SCD,763470
238,0.5 ML alprostadil 0.02 MG/ML Prefilled Syringe [Caverject],SBD,763472
239,0.5 ML alprostadil 0.04 MG/ML Prefilled Syringe,SCD,763473
240,0.5 ML alprostadil 0.04 MG/ML Prefilled Syringe [Caverject],SBD,763474
241,0.5 ML asparaginase Erwinia chrysanthemi (recombinant)-rywn 20 MG/ML Injection,SCD,2561251
242,0.5 ML asparaginase Erwinia chrysanthemi (recombinant)-rywn 20 MG/ML Injection [Rylaze],SBD,2561256
243,0.5 ML atropine sulfate 0.8 MG/ML Injection,SCD,1190793
244,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.005 MG/ML / diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection",SCD,1300205
245,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.005 MG/ML / diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection [Adacel]",SBD,1300206
246,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.005 MG/ML / diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Prefilled Syringe",SCD,1300189
247,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.005 MG/ML / diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Prefilled Syringe [Adacel]",SBD,1300191
248,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.02 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection",SCD,1300308
249,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.02 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection [Daptacel]",SBD,1300310
250,"0.5 ML Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.005 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML / diphtheria toxoid vaccine, inactivated 5 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Prefilled Syringe",SCD,1300368
